ch,yue,yue-nn,yue-wz
㐀,jau,jau,jau
㐁,dou,du,dou
㐂,cat,cat,cat
㐃,zim,zim,zim
㐄,kwaa,kwaa,kwaa
㐅,ng,ng,ng
㐆,ji,ji,ji
㐇,gau,gau,gau
㐈,jap,jap,jap
㐉,ding,ding,ding
㐊,si,si,si
㐋,tou,tu,tou
㐌,ji,taa,taa
㐍,zaau,zaau,zaau
㐎,man,man,man
㐏,ng,ng,ng
㐐,nou,nu,nou
㐑,dung,dung,dung
㐒,ziu,ziu,ziu
㐓,ho,ho,ho
㐔,hang,hang,hang
㐕,jau,jau,jau
㐖,kit,jit,jit
㐗,lou,lu,lou
㐘,mai,mai,mai
㐙,dau,dau,dau
㐚,ng,ng,ng
㐛,jau,jau,jau
㐜,sau,cau,cau
㐝,keoi,kyu,kyu
㐞,kei,ki,ki
㐟,fei,fi,fi
㐠,jyu,jyu,jyu
㐡,no,no,no
㐢,fau,fau,fau
㐣,fu,fu,fu
㐤,daan,daan,daan
㐥,co,co,co
㐦,geoi,gyu,gyu
㐧,coi,coi,coi
㐨,zeoi,zyu,zyu
㐩,jing,jing,jing
㐪,si,si,si
㐫,hung,hung,hung
㐬,lau,lau,lau
㐭,lam,lam,lam
㐮,soeng,sloeng,soeng
㐯,jung,jung,jung
㐰,seon,slan,san
㐱,can,can,can
㐲,daai,daai,daai
㐳,ngat,ngat,ngat
㐴,paan,paan,paan
㐵,jyu,jyu,jyu
㐶,ci,ci,ci
㐷,maa,maa,maa
㐸,him,him,him
㐹,hei,hi,hi
㐹,ngat,ngat,ngat
㐺,jam,jam,jam
㐻,noi,nui,nui
㐼,cing,cing,cing
㐽,fung,fung,fung
㐾,wun,wun,wun
㐿,sau,sau,sau
㑀,taai,taai,taai
㑁,zeot,zyut,zat
㑂,fong,fong,fong
㑃,aau,aau,aau
㑄,mou,mu,mu
㑅,zok,zok,zok
㑆,hing,hing,hing
㑇,zau,zau,zau
㑇,cau,zau,zau
㑈,dung,dung,dung
㑉,suk,sluk,suk
㑊,jik,jik,jik
㑋,hung,kung,kung
㑌,hong,kwaang,kong
㑍,loi,lui,lui
㑎,nou,nu,nou
㑏,cyu,cyu,cyu
㑐,suk,suk,suk
㑑,zat,zat,zat
㑒,cim,cim,cim
㑓,zeon,zan,zan
㑔,seoi,slyu,syu
㑕,seoi,sui,sui
㑖,zung,zung,zung
㑗,san,san,san
㑘,gaai,gaai,gaai
㑙,dip,dip,dip
㑚,naa,naa,naa
㑛,suk,sluk,suk
㑜,jai,jai,jai
㑝,lung,lung,lung
㑞,jing,jing,jing
㑟,bang,bang,bang
㑠,gin,gin,gin
㑡,zik,zik,zik
㑢,koek,koek,koek
㑣,laam,laam,laam
㑤,maau,naau,naau
㑥,ji,ji,ji
㑦,lai,lai,lai
㑧,gwai,gwai,gwai
㑨,jyu,jyu,jyu
㑩,lo,lo,lo
㑪,caai,caai,caai
㑫,lim,lim,lim
㑫,nim,nim,nim
㑬,gu,gu,gu
㑭,bei,bi,bi
㑮,wan,wan,wan
㑯,seoi,slyu,syu
㑰,fui,fui,fui
㑱,jiu,jiu,jiu
㑲,naam,naam,naam
㑳,zau,zau,zau
㑳,cau,zau,zau
㑴,cam,cam,cam
㑵,zat,zat,zat
㑶,hei,hi,hi
㑷,taai,taai,taai
㑸,jiu,jiu,jiu
㑹,wui,wui,wui
㑺,zeon,zan,zan
㑻,maat,maat,maat
㑼,loek,loek,loek
㑽,tong,tong,tong
㑾,jiu,jiu,jiu
㑿,zaau,zaau,zaau
㒀,zaak,zaak,zaak
㒁,jyu,jyu,jyu
㒂,zoek,zoek,zoek
㒃,ji,ji,ji
㒄,jin,jin,jin
㒅,kai,kai,kai
㒆,kap,kap,kap
㒇,mou,mu,mu
㒈,haam,haam,haam
㒉,cong,cong,cong
㒊,saap,sap,sap
㒋,si,si,si
㒌,king,king,king
㒍,leoi,lui,lui
㒎,saap,slaap,saap
㒏,hon,hon,hon
㒐,seon,slan,san
㒑,fui,fui,fui
㒒,buk,puk,puk
㒓,taat,taat,taat
㒓,daat,daat,daat
㒔,suk,suk,suk
㒕,ong,joeng,joeng
㒖,ngau,ngau,ngau
㒗,toi,toi,toi
㒘,syu,syu,syu
㒙,min,min,min
㒚,jan,jan,jan
㒛,tiu,tiu,tiu
㒜,jyu,jyu,jyu
㒝,mit,mit,mit
㒞,wai,wai,wai
㒟,niu,niu,niu
㒠,haai,haai,haai
㒡,jau,jau,jau
㒢,joek,joek,joek
㒣,jing,jing,jing
㒤,cip,cip,cip
㒥,fung,fung,fung
㒦,leoi,lui,lui
㒧,lai,lai,lai
㒨,sin,slin,sin
㒩,lo,lo,lo
㒪,sek,sek,sek
㒫,gei,gi,gi
㒬,wong,wong,wong
㒭,kwan,kwan,kwan
㒮,fui,fui,fui
㒯,jip,jip,jip
㒰,cyun,cyun,cyun
㒱,zik,zik,zik
㒲,coi,coi,coi
㒳,loeng,loeng,loeng
㒴,gwat,gwat,gwat
㒵,maau,maau,maau
㒶,gung,gung,gung
㒷,hing,hing,hing
㒸,seoi,sui,sui
㒹,din,din,din
㒺,mong,mong,mong
㒻,mou,mu,mou
㒼,mang,mang,mang
㒼,mun,mun,mun
㒽,hyun,hyun,hyun
㒾,ci,ci,ci
㒿,lei,li,li
㓀,buk,puk,puk
㓁,mong,mong,mong
㓂,kau,kau,kau
㓃,dou,du,du
㓄,zam,zam,zam
㓅,ting,ting,ting
㓆,leon,lan,lan
㓇,juk,juk,juk
㓈,bing,bing,bing
㓉,wut,wut,wut
㓊,dung,dung,dung
㓋,gung,gung,gung
㓌,cang,zang,zang
㓍,cung,cung,cung
㓎,cam,cam,cam
㓏,gwing,gwing,gwing
㓐,luk,luk,luk
㓑,jing,jing,jing
㓒,cat,cat,cat
㓓,naam,naam,naam
㓔,ze,ze,ze
㓕,mit,mit,mit
㓖,bat,bat,bat
㓗,git,git,git
㓘,suk,sluk,suk
㓙,hung,hung,hung
㓚,gung,gung,gung
㓛,gung,gung,gung
㓜,jau,jau,jau
㓝,jing,jing,jing
㓞,kai,kai,kai
㓞,kit,kit,kit
㓟,pai,pai,pai
㓟,pai,mai,mai
㓠,dim,dim,dim
㓡,fu,fu,fu
㓢,lok,lok,lok
㓣,hap,hap,hap
㓤,gat,gat,gat
㓥,tong,tong,tong
㓦,maak,mak,mak
㓦,baak,baak,baak
㓧,gam,gam,gam
㓨,ci,ci,ci
㓩,hyun,hyun,hyun
㓪,long,long,long
㓫,fu,fu,fu
㓬,fu,fu,fu
㓭,hot,hot,hot
㓮,diu,diu,diu
㓯,lei,li,li
㓰,waak,waak,waak
㓱,tau,tau,tau
㓲,pin,pin,pin
㓳,dai,dai,dai
㓴,jyun,jyun,jyun
㓵,ngok,ngok,ngok
㓶,kit,kit,kit
㓷,ji,ji,ji
㓸,zoek,zoek,zoek
㓹,jeoi,jui,jui
㓺,kin,kin,kin
㓻,gong,gong,gong
㓼,cat,cat,cat
㓽,sung,cung,cung
㓾,sai,slai,sai
㓿,syu,syu,syu
㔀,king,king,king
㔁,dang,dang,dang
㔂,leon,lan,lan
㔃,zyut,zyut,zyut
㔄,suk,sluk,suk
㔅,siu,sliu,siu
㔆,caam,caam,caam
㔇,put,put,put
㔈,fei,fi,fi
㔉,zuk,zuk,zuk
㔊,zin,zin,zin
㔋,gaam,gaam,gaam
㔌,zau,zau,zau
㔍,caat,caat,caat
㔎,sit,slit,sit
㔏,lik,lik,lik
㔐,cim,cim,cim
㔑,cat,cat,cat
㔒,kwai,kwai,kwai
㔓,gin,gin,gin
㔔,gaa,gaa,gaa
㔕,gat,gat,gat
㔖,gaa,gaa,gaa
㔗,fai,fai,fai
㔘,ceot,zat,zat
㔙,paang,paang,paang
㔚,hau,hau,hau
㔛,kit,kit,kit
㔜,but,baat,baat
㔝,loeng,loeng,loeng
㔞,gwaai,kwaai,kwaai
㔟,sai,sai,sai
㔠,hat,hat,hat
㔡,bit,bit,bit
㔢,dyut,dyut,dyut
㔣,leoi,lui,lui
㔤,san,slan,san
㔥,baa,baa,baa
㔦,joeng,joeng,joeng
㔧,leoi,lyu,lyu
㔨,bui,bui,bui
㔩,ap,ap,ap
㔩,hap,hap,hap
㔪,lou,lu,lu
㔫,lung,lung,lung
㔬,coek,coek,coek
㔭,ci,do,do
㔮,no,no,no
㔯,syun,slyun,syun
㔰,hang,hang,hang
㔱,jyu,jyu,jyu
㔲,gwai,gwai,gwai
㔳,gwai,gwai,gwai
㔴,jik,jik,jik
㔵,syun,slyun,syun
㔶,gung,gung,gung
㔷,lau,lau,lau
㔸,tai,tai,tai
㔹,lak,lak,lak
㔹,lak,lek,lek
㔺,sai,sai,sai
㔻,pei,pi,pi
㔼,seon,slan,san
㔽,jau,jyu,jyu
㔾,cim,cim,cim
㔾,zit,zit,zit
㔿,zau,zau,zau
㕀,wai,wai,wai
㕁,koek,koek,koek
㕂,jam,jam,jam
㕃,kai,kai,kai
㕄,zi,zi,zi
㕅,gaap,gaap,gaap
㕆,wu,wu,wu
㕇,laap,laap,laap
㕈,ji,ji,ji
㕉,hap,hap,hap
㕊,bou,bu,bu
㕋,kam,kam,kam
㕌,ngoi,ngoi,ngoi
㕍,deoi,dui,dui
㕎,hap,hap,hap
㕏,cyu,cyu,cyu
㕐,se,sle,se
㕑,ceoi,cyu,cyu
㕑,cyu,cyu,cyu
㕒,ngai,ngai,ngai
㕓,cin,cin,cin
㕔,teng,teng,ting
㕔,ting,ting,ting
㕕,waan,waan,waan
㕖,sou,slu,su
㕗,jau,jau,jau
㕘,caam,caam,caam
㕘,sam,sam,sam
㕙,zeon,zan,zan
㕚,caa,caa,caa
㕚,zaau,zaau,zaau
㕛,jau,jau,jau
㕜,si,si,si
㕝,si,si,si
㕞,caat,caat,caat
㕟,wai,wai,wai
㕠,soeng,soeng,song
㕡,kok,kok,kok
㕢,haai,haai,haai
㕣,jin,jin,jin
㕤,kau,kau,kau
㕥,ji,ji,ji
㕦,waa,waa,waa
㕧,si,si,si
